id,name,prefecture,managementNo,licenseNo,startPosition,latitude,longitude,whereToGet,distance
1,県民の森,宮城,3,262,県民の森中央記念館,,,県民の森中央記念館,10
2,県民の森,栃木,55,268,県民の森管理事務所,,,県民の森管理事務所森林展示館,9
3,筑波山,茨城,24,24,県立中央青年の家,,,ネットプリントJOAP024A,10
4,南大洗旭(コース1),茨城,96,502,鉾田市役所旭支所,,,鉾田市教育委員会生涯学習課(鉾田市旭総合支所２階),8
5,南大洗旭(コース2),茨城,96,502,いこいの村涸沼,,,鉾田市教育委員会生涯学習課(鉾田市旭総合支所２階),9.5
6,南大洗旭(コース3),茨城,96,502,涸沼観光センター,,,鉾田市教育委員会生涯学習課(鉾田市旭総合支所２階),8.5
7,八郷,茨城,97,510,八郷総合運動公園 ,,,ネットプリントJOAP510A ,8.8
8,高崎観音山,群馬,34,36,観音山山頂駐車場(027-323-5511),,,駐車場観光センター、高崎市商業観光課内高崎観光協会,9
9,太田市金山,群馬,45,63,クルンモット駐車場,,,クルンモット(カフェ)(0276-55-3303),9
10,高崎・山名丘陵,群馬,59,293,山名駅前,,,山名駅（駅員不在のときあり＝群馬県OL協会での郵送販売）、観音山観光センター,9
11,赤城山B,群馬,60,300,国立赤城青少年交流の家,,,青少年交流の家内売店(027-288-3333),6
12,上州高山(小野子林道コース),群馬,95,499,県立北毛青少年自然の家,,,県立北毛青少年自然の家(0279-63-2004),5.6
13,やぶづか温泉,群馬,121,639,県立東毛青少年自然の家,,,県立東毛青少年自然の家(0277-73-5666),8
14,元加治,埼玉,1,1,元加治駅前,,,ネットプリントJOAP001A,10
15,高麗,埼玉,2,2,高麗駅前,,,ネットプリントJOAP002A,10
16,越生,埼玉,3,3,越生駅前,,,ネットプリントJOAP003A,10
17,仏子,埼玉,11,11,仏子駅前,,,ネットプリントJOAP011A,9
18,高坂A,埼玉,12,12,高坂駅西口前,,,ネットプリントJOAP012A,9.5
19,東松山,埼玉,13,13,百穴入口,,,ネットプリントJOAP013A,7.5
20,秩父A,埼玉,38,174,西武秩父駅前,,,ネットプリントJOAP174A,3
21,秩父B,埼玉,39,175,西武秩父駅前,,,ネットプリントJOAP174B,3.2
22,神川A,埼玉,53,245,神川げんきプラザ,,,神川げんきプラザ,9
23,寄居A,埼玉,67,329,寄居駅前,,,ネットプリントJOAP329A,6.5
24,高坂B,埼玉,117,585,高坂駅西口前,,,ネットプリントJOAP585B,6.4
25,神川B,埼玉,122,623,神川げんきプラザ,,,神川げんきプラザ,8
26,森林公園A,埼玉,123,624,森林公園南口,,,森林公園管理センター,10
27,森林公園B,埼玉,124,625,森林公園南口,,,森林公園管理センター,10
28,寄居B,埼玉,138,673,寄居駅前,,,ネットプリントJOAP329A,4.6
29,八丁湖,埼玉,147,694,フレンドシップよしみ,,,ネットプリントJOAP694B,10
30,上尾・伊奈B,埼玉,149,696,陸上競技場入口,,,ネットプリントJOAP696B,2.6
31,加須花咲,埼玉,150,697,花咲駅・鷲宮駅,,,ネットプリントJOAP150A,12
32,県民の森,埼玉,153,719,県民の森森林学習展示館,,,ネットプリントJOAP719A,6
33,越生梅林,埼玉,154,727,ウェルサンピア埼玉おごせ,,,ネットプリントJOAP727A,6.8
34,八日市場天神山,千葉,91,477,市立公民館,,,井戸野屋 匝りの里(0479-85-5015) ,9
35,表高尾,東京,8,8,高尾山口駅前,,,登山電鉄駅売店、ネットプリントJOAP008A,8
36,高尾山頂・薬王院,東京,9,9,高尾山駅,,,登山電鉄駅売店、ネットプリントJOAP009A,4
37,奥高尾#2,東京,10,10,高尾山口駅前,,,登山電鉄駅売店、ネットプリントJOAP010A,15
38,横浜金沢,神奈川,6,6,金沢文庫駅西口,,,ネットプリントJOAP006A,10
39,秦野弘法山,神奈川,7,7,鶴巻温泉駅前,,,ネットプリントJOAP007A,10
40,こどもの国,神奈川,19,19,こどもの国入口,,,総合案内所（こどもの国協会 045-961-2111）,6
41,藤野園芸ランド,神奈川,83,401,藤野駅前ふじのね,,,ネットプリントJOAP401A,7
42,レイクアリーナ箱根 ,神奈川,777,777,レイクアリーナ箱根,,,レイクアリーナ箱根(0460-6-3300),3
43,清里・美ノ森,山梨,30,47,清泉寮前,,,清泉寮本館フロント、清里高原ホテル、美し森ファーム、羽村市自然休暇村 ,10
44,鳴沢村・緑の休暇村,山梨,79,388,富士緑の休暇村,,,富士緑の休暇村,9
45,浜北,静岡,3,62,浜北森林公園会館,,,バードピア浜北,6
46,富士丸火(Score),静岡,6,278,富士市立少年自然の家,,,富士市立少年自然の家,
47,玉露の里A,静岡,31,775,茶の華亭,,,ネットプリントJOAP775A,3
48,玉露の里B,静岡,31,775,茶の華亭,,,ネットプリントJOAP775B,6
49,エコパA,静岡,800,800,エコパスタジアム正面案内掲示板,,,小笠山総合運動公園エコパ事務所(0538-41-1800),4.2
50,エコパB,静岡,800,800,エコパスタジアム正面案内掲示板,,,小笠山総合運動公園エコパ事務所(0538-41-1800),2.7
51,飯綱高原,長野,1,50,大座法師池,,,富士見屋,8
52,菅平高原A,長野,5,237,国際リゾートセンター,,,白樺荘、国際リゾートセンター,10
53,菅平高原B,長野,5,237,国際リゾートセンター,,,白樺荘、国際リゾートセンター,10
54,霧ヶ峰高原,長野,18,645,霧ヶ峰強清水バス停,,,高原の店りんどう,13
55,千駄刈自然学校１(上級者),長野,22,785,千駄刈自然学校事務所前,,,千駄刈自然学校事務所,4.5
56,千駄刈自然学校2(中級者),長野,22,785,千駄刈自然学校事務所前,,,千駄刈自然学校事務所,2.5
57,千駄刈自然学校3(初心者),長野,22,785,千駄刈自然学校事務所前,,,千駄刈自然学校事務所,2.4
58,千駄刈自然学校4(冒険トレッキング),長野,22,785,千駄刈自然学校事務所前,,,千駄刈自然学校事務所,5.8
59,岐阜城,岐阜,1,53,梅林公園,,,岐阜市役所ぎふ魅力づくり推進部市民スポーツ課(058-214-2371),8.5
60,百年公園,岐阜,9,222,百年公園管理事務所,,,百年公園管理事務所(0575-28-2166),6.5
61,根の上高原,岐阜,15,543,あかまんまロッジ,,,あかまんまロッジ(0573-65-3534),8
62,ファミリーパーク,岐阜,20,740,岐阜市少年自然の家,,,岐阜市少年自然の家(058-229-2888),10
63,ながら川ふれあい森A,岐阜,23,780,ながら川ふれあいの森四季の森センター,,,四季の森センター(058-237-6677),10
64,ながら川ふれあい森B,岐阜,23,780,ながら川ふれあいの森四季の森センター,,,四季の森センター(058-237-6677),9
65,ながら川ふれあい森C,岐阜,23,780,ながら川ふれあいの森四季の森センター,,,四季の森センター(058-237-6677),4
66,国立乗鞍青少年交流の家A,岐阜,24,784,国立乗鞍青少年交流の家,,,国立乗鞍青少年交流の家事務所(0577-31-1015),3.1
67,国立乗鞍青少年交流の家B,岐阜,24,784,国立乗鞍青少年交流の家,,,国立乗鞍青少年交流の家事務所(0577-31-1015),3.8
68,国立乗鞍青少年交流の家C,岐阜,24,784,国立乗鞍青少年交流の家,,,国立乗鞍青少年交流の家事務所(0577-31-1015),6.5
69,南飛騨健康増進センター四美の森,岐阜,25,801,南飛騨健康増進センター健康学習センター棟,,,南飛騨健康増進センター健康学習センター棟,2.7
70,賀茂,愛知,1,65,旧賀茂支所跡,,,ネットプリントJOAP065A、豊橋市「スポーツのまち」づくり課(0532-51-2864),10
71,定光寺,愛知,2,66,正伝池南東側,,,ネットプリントJOAP066A、瀬戸市スポーツ課(0561-48-0500),10
72,尾張三山,愛知,3,74,羽黒駅前,,,羽黒駅前デイリーヤマザキ,10
73,佐布里池A,愛知,4,75,東部まちづくりセンター,,,ネットプリント JOAP075A、東部まちづくりセンター,10
74,佐布里池B,愛知,4,75,梅の館,,,ネットプリント JOAP075A、梅の館,2
75,東公園A,愛知,5,76,東公園ステージ広場,,,東公園売店,3
76,東公園B,愛知,5,76,東公園ステージ広場,,,東公園売店,5
77,東公園C,愛知,5,76,東公園ステージ広場,,,東公園売店,7
78,新城設楽が原,愛知,6,437,飯田線茶臼山駅前,,,ネットプリントJOAP437A,7
79,旭高原(城山コース),愛知,7,722,旭高原元気村きらめき館,,,旭高原元気村きらめき館(0565-68-2755),4
80,旭高原(高原コース),愛知,8,723,旭高原元気村きらめき館,,,旭高原元気村きらめき館(0565-68-2755),3
81,愛知こどもの国,愛知,9,755,中央管理棟,,,中央管理棟内利用課,5
82,小牧桃花台・四季の森A,愛知,10,779,旧「桃花台 センター駅」前,,,小牧市東部市民センター(0568-79-8008),10
83,小牧桃花台・四季の森B,愛知,10,779,旧「桃花台 センター駅」前,,,小牧市東部市民センター(0568-79-8008),5
84,小牧桃花台・四季の森C,愛知,10,779,旧「桃花台 センター駅」前,,,小牧市東部市民センター(0568-79-8008),3
85,北勢A,三重,3,118,伊勢治田駅前,,,伊勢治田駅,10
86,北勢B,三重,3,118,伊勢治田駅前,,,伊勢治田駅,6
87,関宿,三重,15,638,関駅前・B&G海 洋センター,,,鈴鹿亭寿司店、B&G海洋センター、亀山市教育委員会,10
88,中部台公園,三重,18,772,県営中部台運動公園,,,運動公園管理事務所,7
89,大仏山,三重,19,781,県営大仏公園管理事務所,,,県営大仏公園管理事務所,7
90,戸室(念仏坂),石川,1,200,医王山スポーツセンター,,,ネットプリント JOAP200A、医王山スポーツセンター(076-229-1591),7
91,舟岡山,石川,2,201,白山青年の家,,,ネットプリント JOAP201A、白山青年の家(076-272-3695),8
92,由比が丘,石川,3,202,のとふれあい文化センター,,,ネットプリント JOAP202A、のとふれあい文化センター(0768-52-3401),5
93,不入乃森,石川,4,297,気多大社,,,ネットプリント JOAP297A、気多大社社務所(0767-22-0602),4.5
